iyear,imonth,count
1973,4,1
1976,11,2
1979,1,11
1979,2,4
1979,3,4
1980,1,1
1982,2,1
1982,9,1
1983,2,1
1983,10,3
1987,10,1
1988,1,1
1988,2,5
1988,3,8
1988,4,1
1988,5,1
1988,8,1
1988,11,5
1988,12,1
1989,1,1
1989,2,12
1989,3,2
1989,4,1
1989,5,2
1989,7,3
1989,10,2
1989,12,1
1990,1,1
1990,3,4
1990,5,1
1990,7,1
1990,9,1
1990,11,1
1991,1,5
1991,3,1
1991,4,5
1991,8,1
1991,9,4
1991,10,2
1991,11,3
1991,12,1
1992,2,3
1992,3,1
1992,4,4
1992,10,1
1992,11,3
1994,6,1
1994,7,2
1994,8,1
1994,9,2
1994,10,1
1994,12,1
1995,3,3
1995,4,5
1995,5,2
1995,6,1
1995,7,1
1996,1,1
1996,2,1
1996,5,2
1996,6,2
1996,7,1
1996,9,2
1996,11,2
1996,12,2
1997,3,31
1997,4,2
1997,5,2
1999,6,1
1999,8,1
1999,9,1
1999,10,1
2001,5,1
2001,6,1
2001,12,1
2002,4,1
2002,5,3
2003,1,1
2003,3,2
2003,5,6
2004,6,1
2004,12,1
2005,1,1
2005,3,1
2005,4,2
2005,5,3
2005,10,1
2006,2,1
2006,3,1
2007,4,1
2007,6,1
2007,10,1
2008,1,3
2008,2,1
2008,4,3
2008,5,1
2008,7,4
2008,8,2
2008,9,5
2008,10,1
2009,2,1
2009,3,3
2009,5,3
2009,9,4
2009,10,1
2009,11,1
2009,12,1
2010,1,1
2010,2,5
2010,4,4
2010,9,1
2011,11,2
2012,3,4
2012,4,2
2012,5,5
2012,6,3
2012,11,1
2012,12,2
2013,1,2
2013,2,1
2013,5,1
2013,7,1
2013,8,1
2013,10,11
2013,12,1
2014,1,1
2014,4,1
2014,5,5
2014,9,4
2014,10,4
2014,12,1
2015,1,8
2015,2,10
2015,3,2
2015,4,4
2015,7,2
2015,8,1
2015,10,3
2015,11,6
2015,12,1
2016,3,1
2016,4,1
2016,5,11
2016,6,2
2016,7,2
2016,8,1
2016,10,8
2016,11,41
2016,12,7
2017,1,11
2017,2,1
2017,3,5
2017,4,1
2017,5,4
2017,6,5
2017,7,5
2017,8,62
2017,9,13
2017,10,1
2017,11,2
2017,12,6
2018,1,5
2018,2,4
2018,4,1
2018,5,4
2018,9,7
2018,10,5
2018,11,3
2018,12,11
2019,1,9
2019,2,7
2019,3,13
2019,4,8
2019,5,5
2019,6,5
2019,7,3
2019,8,16
2019,9,2
2019,10,10
2019,11,5
2019,12,7
2020,1,3
2020,2,7
2020,3,9
2020,4,8
2020,5,16
2020,6,4
2020,7,4
2020,8,7
2020,9,1
2020,10,4
2020,11,2
