gname,Arson/Fire,Automatic or Semi-Automatic Rifle,Grenade,Handgun,Landmine,Other Explosive Type,"Projectile (rockets, mortars, RPGs, etc.)",Unknown Explosive Type,Unknown Gun Type,Vehicle
Al-Shabaab,53.0,107.0,289.0,249.0,358.0,31.0,537.0,411.0,1096.0,294.0
Boko Haram,212.0,188.0,29.0,4.0,49.0,40.0,184.0,384.0,1178.0,93.0
Farabundo Marti National Liberation Front (FMLN),4.0,1714.0,14.0,70.0,21.0,0.0,54.0,1250.0,6.0,3.0
Houthi extremists (Ansar Allah),9.0,23.0,3.0,2.0,139.0,4.0,1316.0,208.0,361.0,25.0
Irish Republican Army (IRA),3.0,138.0,16.0,192.0,44.0,5.0,93.0,863.0,531.0,166.0
Islamic State of Iraq and the Levant (ISIL),91.0,108.0,30.0,6.0,56.0,71.0,636.0,1578.0,700.0,1529.0
Kurdistan Workers' Party (PKK),67.0,590.0,25.0,32.0,97.0,105.0,287.0,285.0,313.0,129.0
New People's Army (NPA),230.0,648.0,67.0,307.0,199.0,32.0,53.0,242.0,1094.0,1.0
Shining Path (SL),8.0,1399.0,16.0,437.0,19.0,6.0,15.0,1847.0,90.0,39.0
Taliban,279.0,99.0,49.0,17.0,851.0,154.0,789.0,1104.0,3527.0,651.0
